season,episode_number,image_url,title,airdate,rating,total_votes,desc,total_viewers,series_avg,season_expanded,episode_expanded,ep_name_expanded
7,2,"https://m.media-amazon.com/images/M/MV5BODAwNjk2ZTgtN2E1Ny00MmVmLTliMjMtMjRhMTVmOGZiODVlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UX224_CR0,0,224,126_AL_.jpg",Stormborn,24 Jul. 2017,8.8,46106,Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.,9.27,9.2,Season 7,S7-E2,Stormborn (S7-E2)
7,3,"https://m.media-amazon.com/images/M/MV5BNTg5Njg2MzQ1NF5BMl5BanBnXkFtZTgwNDc4NDEzMzI@._V1_UX224_CR0,0,224,126_AL_.jpg",The Queen's Justice,31 Jul. 2017,9.1,48376,Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.,9.25,9.2,Season 7,S7-E3,The Queen's Justice (S7-E3)
7,4,"https://m.media-amazon.com/images/M/MV5BMjE4MTUxNjEyOF5BMl5BanBnXkFtZTgwMDA0NDEzMzI@._V1_UX224_CR0,0,224,126_AL_.jpg",The Spoils of War,7 Aug. 2017,9.7,90981,Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.,10.17,9.2,Season 7,S7-E4,The Spoils of War (S7-E4)
7,5,"https://m.media-amazon.com/images/M/MV5BMjMyNDMxNDY2NV5BMl5BanBnXkFtZTgwOTIxNDEzMzI@._V1_UX224_CR0,0,224,126_AL_.jpg",Eastwatch,14 Aug. 2017,8.7,45839,Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.,10.72,9.2,Season 7,S7-E5,Eastwatch (S7-E5)
7,6,"https://m.media-amazon.com/images/M/MV5BMjI0MjA5Mzg2MV5BMl5BanBnXkFtZTgwOTM5MTkyMzI@._V1_UX224_CR0,0,224,126_AL_.jpg",Beyond the Wall,21 Aug. 2017,9.0,66387,Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.,10.24,9.2,Season 7,S7-E6,Beyond the Wall (S7-E6)
7,7,"https://m.media-amazon.com/images/M/MV5BMTc2MTVkZDYtMmI4My00YjdjLWJhYmYtNWViZGQ2Nzk0NzNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UX224_CR0,0,224,126_AL_.jpg",The Dragon and the Wolf,28 Aug. 2017,9.4,66357,"Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow.",12.07,9.2,Season 7,S7-E7,The Dragon and the Wolf (S7-E7)
8,1,https://m.media-amazon.com/images/M/MV5BYmEwZDViYjMtZGNhNC00NzkxLWJlMDMtNWVhZTQ5MWU2YTEzXkEyXkFqcGdeQXVyOTMyOTQyNzA@._V1_UY126_UX224_AL_.jpg,Winterfell,15 Apr. 2019,7.6,134705,Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.,11.76,9.2,Season 8,S8-E1,Winterfell (S8-E1)
8,2,"https://m.media-amazon.com/images/M/MV5BYzZmODZkZjItYmZiOS00MjM4LWE5NWUtMjgwOTJmMTkzZWQ3XkEyXkFqcGdeQXVyMjIyMTc0ODQ@._V1_UX224_CR0,0,224,126_AL_.jpg",A Knight of the Seven Kingdoms,22 Apr. 2019,7.9,133304,Jaime faces judgment and Winterfell prepares for the battle to come.,10.29,9.2,Season 8,S8-E2,A Knight of the Seven Kingdoms (S8-E2)
8,3,"https://m.media-amazon.com/images/M/MV5BOGFmYzU3ZTUtNzU3YS00OGQwLTkzMjMtZDY5NmI5MGYwNTQ5XkEyXkFqcGdeQXVyOTMyOTQyNzA@._V1_UX224_CR0,0,224,126_AL_.jpg",The Long Night,29 Apr. 2019,7.5,219639,The Night King and his army have arrived at Winterfell and the great battle begins.,12.02,9.2,Season 8,S8-E3,The Long Night (S8-E3)
8,4,"https://m.media-amazon.com/images/M/MV5BZTNjMTg4ZjMtZTQzZS00NDMyLWFmMWEtYmQ5YmY4Yzg0MzZjXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX224_CR0,0,224,126_AL_.jpg",The Last of the Starks,6 May 2019,5.5,167650,The Battle of Winterfell is over and a new chapter for Westeros begins.,11.8,9.2,Season 8,S8-E4,The Last of the Starks (S8-E4)
8,5,https://m.media-amazon.com/images/M/MV5BNmUzNWU3MGItYjZmMi00N2VjLWJlNDQtNTU3MTk0MTU4NTk4XkEyXkFqcGdeQXVyNjIwNzU1MzQ@._V1_UY126_UX224_AL_.jpg,The Bells,13 May 2019,5.9,195602,Forces have arrived at King's Landing for the final battle.,12.48,9.2,Season 8,S8-E5,The Bells (S8-E5)
8,6,https://m.media-amazon.com/images/M/MV5BOTE0NzM0Y2EtN2NiNC00NzkwLWExZjYtYmYxNTY5ZDg4NzhhXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UY126_UX224_AL_.jpg,The Iron Throne,20 May 2019,4.0,253976,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",13.61,9.2,Season 8,S8-E6,The Iron Throne (S8-E6)
